id,title given by manchine,Y/N,original title
10.1.1.211.3354.txt,An Experimental Evaluation of the HP VClass and SGI Origin 2000 Multiprocessors using Microbenchmarks and,N,An experimental evaluation of the HP V-class and SGI origin 2000 multiprocessors using microbenchmarks and scientific applications
10.1.1.64.7282.txt,Running Title: Entropy-enthalpy compensation,N,Entropy-enthalpy compensation: conformational fluctuation and induced-fit
10.1.1.125.7401.txt,CIFOR REPORTS ON DECENTRALIZATION AND FORESTS IN INDONESIA District and Provincial Case Studies,N,"The dynamics of decentralization in the forestry sector in South Sulawesi: the history, realities and challenges of decentralized governance"
10.1.1.32.6721.txt,Optimal Feedback Control for Route Tracking With a Bounded Curvature Vehicle,Y,
10.1.1.118.5296.txt,Call for Papers.......................41 Fragments..............................42,N,The Social Life of Routers
10.1.1.197.2625.txt,On the Use of Numeraires in Option Pricing,Y,
10.1.1.77.1320.txt,An Allirmative Action/Equal Opportunity Employer Buckling Investigation of Ring-Stiffened Cylindrical Shells Under Unsymmetrical Axial Loads,N,Buckling investigation of ring-stiffened cylindrical shells under unsymmetrical axial loads
10.1.1.39.8491.txt,"The tree center problems and the relationship with the bottleneck knapsack problems”, Networks 29",N,The tree center problems and the relationship with the bottleneck knapsack problems
10.1.1.160.2718.txt,"Differences and Commonalities of Service-Oriented Device Architectures, Wireless Sensor Networks and Networks-On-Chip",Y,
10.1.1.88.9119.txt,Knowledge Partitioning in Outsourced Software Development: A Field Study,Y,
10.1.1.157.7403.txt,A MDL-based Model of Gender Knowledge Acquisition,Y,
10.1.1.118.8739.txt,(1) INTRODUCTION.,N,The McESE project
10.1.1.90.532.txt,Abstract Characterizing the Performance of Multiple-image Point-correspondence Algorithms using Self-Consistency,N,Characterizing the performance of multiple-image point-correspondence algorithms using self-consistency
10.1.1.212.390.txt,"2003), “Correcting the Errors: Volatility Forecast Evaluation Using High-Frequency Data and Realized Volatilities,” working paper",N,Correcting the errors: Volatility forecast evaluation using high‐frequency data and realized volatilities
10.1.1.129.7400.txt,The Stanford Testbed of Autonomous Rotorcraft for Multi Agent Control (STARMAC,N,The Stanford testbed of autonomous rotorcraft for multi agent control (STARMAC)
10.1.1.70.8268.txt,"? TU Delft, Delft The Netherland, 2006 MODEL ORDER REDUCTION FOR LARGE SCALE FINITE ELEMENT ENGINEERING MODELS",N,Model order reduction for large scale finite element engineering models
10.1.1.184.774.txt,"2391 Polymorphisms and Haplotypes in the Cytochrome P450 17A1, Prolactin, and Catechol-O-Methyltransferase Genes and",N,"Polymorphisms and haplotypes in the cytochrome P450 17A1, prolactin, and catechol-O-methyltransferase genes and non-Hodgkin lymphoma risk"
10.1.1.114.9832.txt,NASA Contractor Report494923 Advanced Information Processing System: Authentication Protocols for Network Communication,Y,Advanced Information Processing System: Authentication Protocols for Network Communication
10.1.1.188.5488.txt,FUNCTIONAL BLOCK DIAGRAM,N,Low Jitter Clock Generator with 14 LVPECL/LVDS/HSTL/29 LVCMOS Outputs
10.1.1.174.263.txt,SECOND Edition 6 Commentary on Load Determination and Structural Design Criteria,N,6 Commentary on Load Determination and Structural Design Criteria
